ID,FC,p
NUFIP1,0.054394722,1
EVI5L,-0.151681212,1
GTF2H3,0.072324325,1
RSPH10B,-0.011534609,1
GPALPP1,0.006598128,1
EIF2B1,0.05042632,1
PMS2,-0.095633841,1
DDX55,-0.187699857,1
AIMP2,-0.373560637,1
MAP2K7,-0.010864452,1
ANKRD61,-0.078045368,1
TPT1,0.025039826,1
EIF2AK1,0.028660983,1
SLC25A30,-0.160530159,1
TMED2,0.039727685,1
RILPL1,-0.020343539,1
SNAPC2,-0.111033932,1
CTXN1,-0.142329935,1
TIMM44,-0.091289464,1
USP42,-0.020797662,1
SNRNP35,-0.14707191,1
RILPL2,0.015921344,1
KMT5A,-0.136215113,1
SBNO1,0.027237193,1
CYTH3,0.030579289,1
RAC1,0.037845567,1
ELAVL1,0.112999272,1
CDK2AP1,0.042528237,1
CERS4,-0.116951272,1
RGD1563482,0.204817944,1
MPHOSPH9,-0.002213371,1
DAGLB,0.031665931,1
ARL6IP4,-0.051059115,1
OGFOD2,-0.062806156,1
ABCB9,-0.124077331,1
KDELR2,0.037893019,1
VPS37B,0.01999875,1
RFC3,-0.403889932,1
STARD13,-0.035550784,1
HIP1R,-0.152141654,1
KL,0.316241924,1
ZFP316,0.117682638,1
PDS5B,0.079208434,1
RBAK,-0.080977722,1
RNF216,-0.123852775,1
AABR07035437.1,-0.062809388,1
FOXK1,-0.158981908,1
DENR,-0.062947934,1
AABR07035428.1,0.299661905,1
N4BP2L2,0.126435149,1
BRCA2,0.478682629,1
MMD2,-0.085238359,1
WIPI2,-0.024315668,1
SLC29A4,-0.070511741,1
FBXL18,-0.33118852,1
MED13L,-0.081395915,1
RGD1562310,0.081136549,1
RNFT2,-0.032114107,1
FBXW8,-0.089950397,1
TESC,-0.202108663,1
FBXO21,-0.089162077,1
NOS1,0.093590157,1
RFC5,-0.016343798,1
WSB2,-0.167069224,1
PEBP1,-0.086796963,1
TAOK3,-0.117923286,1
SUDS3,-0.104894689,1
SRRM4,-0.070587322,1
PRKAB1,-0.196505907,1
CIT,-0.090327901,1
RPLP0,-0.145728062,1
PXN,-0.218779287,1
SIRT4,-0.053753821,1
GLP1R,0.133714173,1
MSI1,-0.1134479,1
UMODL1,0.385112907,1
ABCG1,0.08213845,1
NEWGENE_1586233,-0.016949664,1
GATC,-0.027608045,1
SRSF9,-0.089983034,1
SLC37A1,0.002972233,1
COX6A1,-0.132799353,1
COQ5,0.100490725,1
RNF10,-0.128925056,1
CABP1,-0.007400826,1
PDE9A,-0.034444808,1
ACADS,-0.024296123,1
SPPL3,-0.015618195,1
WDR4,-0.211868688,1
NDUFV3,-0.099959815,1
PKNOX1,-0.037617775,1
RGD1311899,-0.032317567,1
OASL,-0.342659192,1
SIK1,-0.006024751,1
GIT2,-0.037449188,1
TCHP,-0.172256834,1
GLTP,0.04481289,1
RRP1B,0.080199927,1
TRPV4,-0.512673552,1
FAM222A,-0.162099466,1
POP5,-0.090762702,1
CSTB,0.182290541,1
RRP1,-0.083134277,1
ANKRD13A,-0.069233045,1
AGPAT3,-0.063327883,1
PWP2,0.063806868,1
GATD3A,-0.04261511,1
PFKL,-0.153425595,1
CFAP410,-0.062925582,1
TRPM2,-0.003777737,1
LRRC3,0.656535999,1
TSPEAR,1.363815432,1
UBE2G2,-0.154461368,1
PTTG1IP,-0.032802138,1
ITGB2,-0.043473967,1
FAM207A,-0.167654385,1
ADARB1,-0.038759379,1
POFUT2,-0.075727437,1
COL18A1,0.112687702,1
SLC19A1,0.126542207,1
GNA12,-0.113985604,1
BRAT1,-0.025591981,1
CABIN1,-0.05623261,1
RSRC2,-0.004043387,1
DDT,-0.12476385,1
IQCE,0.002050951,1
GSTT3,-0.050598194,1
ZCCHC8,0.009022548,1
PCBP3,-0.078317974,1
CLIP1,-0.030354537,1
COL6A1,0.155567224,1
LFNG,-0.078088583,1
GRIFIN,-0.937046113,1
CHST12,-0.076803374,1
EIF3B,-0.095987899,1
COL6A2,-0.183606747,1
MLXIP,0.029240897,1
ATXN2,-0.043352946,1
SNX8,0.027847677,1
CUX2,0.115633303,1
NUDT1,-0.208830776,1
FTCD,0.054212875,1
MAD1L1,-0.048419137,1
PPP1CC,0.016081995,1
HVCN1,-0.662354969,1
CARD6,-0.011699907,1
MCM3AP,-0.011519373,1
PSMG3,-0.142107357,1
VPS29,-0.029407295,1
PCNT,-0.02668791,1
MAFK,-0.077726387,1
GPN3,-0.163698311,1
ANAPC7,-0.092276666,1
ATP2A2,-0.06181956,1
GPER1,-0.867397165,1
GPR146,-0.286594068,1
LOC498154,0.11800569,1
GET4,-0.008963502,1
IFT81,-0.053870532,1
S100B,-0.043179413,1
P2RX7,-0.228831973,1
PRMT2,0.055767551,1
SUN1,-0.054110225,1
P2RX4,-0.078020896,1
ADORA2A,-0.009757276,1
SPECC1L,-0.02649767,1
BCR,-0.020685253,1
CAMKK2,-0.132986294,1
RAB36,0.012359687,1
PDGFA,-0.024845417,1
GNAZ,0.035850288,1
FAM20C,-0.070692782,1
RSPH14,0.175414893,1
ANAPC5,-0.155511115,1
ZFP68,0.120542474,1
ZFP157,0.010070158,1
ASMT,-0.342829408,1
IL3RA,0.003513111,1
GJC3,0.038334543,1
RNF34,-0.111307297,1
ZKSCAN1,-0.019418155,1
ORAI1,-0.054979701,1
SETD1B,-0.024898127,1
HPD,0.309412204,1
PSMD9,-0.018699247,1
ZFP113,0.175404223,1
WDR66,-0.002552022,1
ALDH2,-0.070460623,1
MAPKAPK5,-0.072545124,1
COPS6,-0.062513838,1
ADAM1A,0.084188038,1
ERP29,0.064648038,1
MCM7,-0.145807454,1
NAA25,0.01438619,1
TRAFD1,0.005325921,1
HECTD4,-0.085095385,1
AP4M1,0.029649134,1
TAF6,-0.096322279,1
MBLAC1,-0.212955799,1
GPC2,-0.090839075,1
RPH3A,-0.14855319,1
OAS1A,-0.006148934,1
RASAL1,-0.076994887,1
GAL3ST4,-0.051506165,1
METTL7A,0.091813474,1
DDX54,-0.034911685,1
IQCD,-0.239039314,1
CYP3A62,0.293468505,1
SLC8B1,-0.258615755,1
PLBD2,-0.143429711,1
LOC100910540,0.067262447,1
SDS,-0.655658106,1
IRS3,0.246548617,1
SDSL,0.020091146,1
MOSPD3,-0.179483708,1
RBM19,-0.422183184,1
LRCH4,-0.12719487,1
AGFG2,-0.051287349,1
TFR2,-0.150519675,1
ACTL6B,-0.151449471,1
GNB2,-0.056254594,1
GIGYF1,-0.025690312,1
SERPINE1,-0.109326552,1
AP1S1,-0.165129544,1
VGF,-0.695033325,1
PLOD3,-0.055197953,1
ZNHIT1,-0.053730048,1
CLDN15,-0.257887457,1
FIS1,-0.099337941,1
COL26A1,-0.159694752,1
CUX1,-0.054275384,1
SH2B2,-0.07713882,1
PRKRIP1,-0.034296657,1
ORAI2,-0.065917563,1
ALKBH4,-0.208074411,1
LRWD1,0.024044009,1
POLR2J,-0.091284557,1
RASA4,0.14910823,1
DTX2,0.008283935,1
SSC4D,-0.1388994,1
YWHAG,-0.043496455,1
SRRM3,0.007614413,1
MDH2,-0.032116255,1
TMEM120A,0.086233262,1
POR,-0.089240353,1
RHBDD2,-0.039858236,1
HIP1,-0.045011174,1
POM121,-0.051456384,1
NSUN5,-0.254601778,1
FKBP6,-0.715875375,1
FZD9,-0.133359005,1
BAZ1B,-0.021730332,1
EIF4H,-0.049271535,1
KIF13A,-0.02047934,1
NUP153,-0.004461694,1
RFC2,-0.078818997,1
IDS,-0.021173545,1
ELN,0.117195281,1
LIMK1,-0.216814608,1
TMEM270,-0.230160349,1
CLDN4,-0.669020142,1
GTF2IRD1,-0.047242426,1
GTF2I,-0.035496342,1
NCF1,0.146464034,1
GTF2IRD2,-0.015300157,1
RCC1L,0.01808674,1
CASTOR2,0.036896706,1
PSMB1,0.037254911,1
TBP,-0.066570147,1
PDCD2,0.087994327,1
SLC8A2,-0.086371353,1
KPTN,-0.124966322,1
NAPA,-0.052478428,1
MIA,0.373557702,1
RAB4B,-0.097375423,1
SNRPA,-0.202428609,1
TMEM35A,-0.090625519,1
CDCA7,0.136255945,1
MAP3K20,-0.196184055,1
RAPGEF4,0.004688493,1
PDK1,-0.101685499,1
ITGA6,-0.012416045,1
DLX2,0.0304547,1
DLX1,-0.048445605,1
HAT1,-0.036309003,1
IGSF11,0.051242577,1
CD80,0.445324944,1
GAP43,-0.105020965,1
CHAC2,0.390078167,1
CYYR1,-0.072429914,1
AGPS,0.009360171,1
NFE2L2,0.008090811,1
ATP5PF,-0.078745396,1
RGD1563888,0.231334975,1
BTG3,-0.003373665,1
CXADR,-0.097254001,1
MTX2,-0.07422405,1
USP25,0.161971803,1
GRIK1,-0.103013265,1
BACH1,-0.133551114,1
MAP3K7CL,-0.167214277,1
NRIP1,0.098725475,1
CCT8,-0.004364784,1
LNPK,0.008052308,1
ATP5MC3,-0.020576566,1
ATF2,-0.093965507,1
USP16,-0.158180448,1
RWDD2B,0.262439887,1
LTN1,0.07466512,1
N6AMT1,-0.197201044,1
ADAMTS1,0.072903975,1
NXPE3,-0.008329441,1
CEP97,0.109123167,1
RPL24,-0.052707839,1
ZBTB11,0.025332215,1
SENP7,0.06907622,1
RIPK4,0.201044465,1
PRDM15,-0.16425708,1
C2CD2,-0.066745291,1
IMPG2,0.571600565,1
ZBTB21,-0.030968826,1
ABI3BP,0.477785899,1
PCP4,-0.229063756,1
WRB,0.020173601,1
BRWD1,-0.00290941,1
TFG,-0.033430155,1
TOMM70,0.03027273,1
TBC1D23,0.09197823,1
PSMG1,0.145304827,1
TMEM30C,0.93356706,1
FILIP1L,-0.045208235,1
ETS2,0.14318943,1
ERG,-0.44985167,1
ST3GAL6,0.288862636,1
CPOX,0.103517808,1
KCNJ15,-0.171762935,1
CLDND1,0.188247381,1
KCNJ6,-0.004936023,1
DYRK1A,0.015646727,1
GABRR3,0.368338203,1
RIOX2,-0.042370297,1
VPS26C,-0.064944571,1
TTC3,0.060781294,1
RIPPLY3,0.797323015,1
HLCS,0.022083313,1
CRYBG3,0.26150999,1
ARL6,0.056134904,1
CHAF1B,-0.643101336,1
SETD4,0.032274274,1
WHRN,-0.088472917,1
CBR3,-0.578120799,1
RUNX1,-0.427452768,1
KALRN,-0.122885019,1
VWA5B2,0.007258893,1
DVL3,-0.239446148,1
AP2M1,-0.068397558,1
ABCF3,-0.066733881,1
HRASLS,0.30168021,1
ALG3,-0.190789284,1
ATP13A4,0.207159202,1
ECE2,0.057937094,1
OPA1,-0.002562675,1
PSMD2,-0.034130155,1
HES1,0.077161152,1
ATP13A3,0.429310105,1
