ID	FC	
Slc25a27	0.09	
Dcaf6	0.09	
Arc	0.09	
Ccdc125	0.09	
Prrt2	0.09	
AABR07049821.2	0.09	
Mroh1	0.09	
RGD1311164	0.09	
Ell2	0.09	
AABR07012129.1	0.09	
RGD1560436	0.09	
Slc1a1	0.09	
Epha7	0.09	
Chkb	0.09	
AC096239.3	0.09	
Glrx	0.09	
Fam193a	0.09	
AABR07052458.1	0.09	
Dennd1a	0.09	
Dnajc12	0.09	
Acaca	0.09	
Mon1b	0.09	
Inpp4a	0.09	
AABR07054614.1	0.09	
Usp31	0.09	
Zfp37	0.09	
Capn12	0.09	
Zfp655	0.09	
Armc6	0.09	
Rgs12	0.09	
Chst12	0.09	
Pias2	0.09	
Zfp644	0.09	
Fam162a	0.09	
AC127084.5	0.09	
Fbxl15	0.09	
Tex38	0.09	
NEWGENE_1562416	0.09	
Zcchc2	0.09	
Cttnbp2	0.09	
Col20a1	0.09	
Nfam1	0.09	
Atp11b	0.09	
Tmco4	0.09	
Efna1	0.09	
Neil1	0.09	
Akap11	0.09	
Gse1	0.09	
Arrdc1	0.09	
Zfp276	0.09	
Kif1bp	0.09	
Fam50a	0.09	
Abraxas1	0.09	
Adgrl1	0.09	
Cs	0.09	
Smchd1	0.09	
Ncapd3	0.09	
Nup155	0.09	
Haus3	0.09	
Gstt2	0.09	
Chfr	0.09	
Gnptab	0.09	
Celf5	0.09	
Impa1	0.09	
Lars2	0.09	
Ubr5	0.09	
Sp2	0.09	
LOC108348096	0.09	
Mthfr	0.09	
Rbm19	0.09	
LOC100363469	0.09	
Ccnt1	0.09	
Prnp	0.09	
Setmar	0.09	
Spryd4	0.09	
Ppp1cb	0.09	
Fn3k	0.09	
Ddhd2	0.09	
Bad	0.09	
Wdhd1	0.09	
Tmem181	0.09	
Plin3	0.09	
Fnip2	0.09	
Plpp1	0.09	
Hectd1	0.09	
C1galt1c1	0.09	
AABR07033047.1	0.09	
Slc4a1ap	0.09	
Bcl9	0.09	
Ccdc65	0.09	
Ubr7	0.09	
Crispld2	0.09	
Ceacam1	0.09	
Fancb	0.09	
Ampd2	0.09	
Zhx3	0.09	
Pfkl	0.09	
RGD1306941	0.09	
Mok	0.09	
Id2	0.09	
Tpd52l1	0.09	
Tubgcp2	0.09	
AABR07027407.1	0.09	
Macf1	0.09	
Tm9sf2	0.09	
Mdm4	0.09	
Plxna3	0.09	
Mysm1	0.09	
Arhgap32	0.09	
Snap91	0.09	
Tamm41	0.09	
Lsm2	0.09	
Kif6	0.09	
Asns	0.09	
Wdr36	0.09	
Nipsnap1	0.09	
AABR07021988.1	0.09	
Numbl	0.09	
Scaf4	0.09	
Esrrb	0.09	
Ntrk3	0.09	
Lrrc56	0.09	
Wapl	0.09	
Exoc6	0.09	
Ubap2l	0.09	
Mrpl47	0.09	
Serpinb6a	0.09	
Slc18a1	0.09	
RGD1310852	0.09	
LOC100911713	0.09	
Trmt11	0.09	
Zbtb1	0.09	
Lig1	0.09	
LOC685273	0.09	
Trmt5	0.09	
Coro1a	0.09	
Neu2	0.09	
Faf1	0.09	
LOC690617	0.09	
Fem1b	0.09	
Smap1	0.09	
Sdccag8	0.09	
Arf1	0.09	
Psmb8	0.09	
Sec31a	0.09	
Mut	0.09	
Ide	0.09	
Mcf2	0.09	
Klf1	0.09	
Cbln1	0.09	
Cdpf1	0.09	
Birc6	0.09	
Topbp1	0.09	
Ston2	0.09	
Kif1a	0.09	
Lrrc40	0.09	
Srp19	0.09	
Map1b	0.09	
Abi1	0.09	
Wdr13	0.09	
Ubqln2	0.09	
Rprm	0.09	
Tp53inp1	0.09	
Acsl1	0.09	
Ankrd13b	0.09	
Nptn	0.09	
Rps6ka5	0.09	
Cldn3	0.09	
Nudt9	0.09	
AABR07071000.1	0.09	
Mapk1ip1l	0.09	
Rdh13	0.09	
RF00019	0.09	
Ruvbl2	0.09	
AC115666.1	0.09	
Sbno1	0.09	
Lmtk2	0.09	
Cyp4x1	0.09	
Serf1	0.09	
Dhx29	0.09	
Bin1	0.09	
Myt1l	0.09	
Lto1	0.09	
Grik5	0.09	
Adk	0.09	
Lsm8	0.09	
Spryd3	0.09	
AC111831.2	0.09	
Kcnj9	0.09	
Supt6h	0.09	
Mical1	0.09	
Trio	0.09	
Bcl2l13	0.09	
Cfap99	0.09	
Lztr1	0.09	
Sap18	0.09	
Cby3	0.09	
Mcm8	0.09	
Apobr	0.09	
Kcnab1	0.09	
Igf2r	0.09	
Nrxn1	0.09	
AC112568.6	0.09	
Mnt	0.09	
Pdf	0.09	
Cacng3	0.09	
Haus7	0.09	
Skil	0.09	
Smc5	0.09	
Lime1	0.09	
Ckap4	0.09	
Zfp687	0.09	
Nrbf2	0.09	
AC124205.1	0.09	
LOC100362453	0.09	
Ddi2	0.09	
Atp13a3	0.09	
Tctex1d2	0.09	
Pkd1	0.09	
Fkbp1b	0.09	
Dffb	0.09	
Prex2	0.09	
Brpf3	0.09	
Phf20l1	0.09	
Ccdc43	0.09	
Caprin1	0.09	
Tpmt	0.09	
LOC102547954	0.09	
Mob2	0.09	
AABR07046707.1	0.09	
Gabpa	0.09	
Bicdl1	0.09	
Baiap2l2	0.09	
Ddx31	0.09	
Irak1bp1	0.09	
Ptdss1	0.09	
Puf60	0.09	
Hnrnpul2	0.09	
Tef	0.09	
Lrrc75b	0.09	
LOC103694903	0.09	
LOC102555217	0.09	
Eif4g3	0.09	
Rnf149	0.09	
Plcg1	0.09	
Tmem184c	0.09	
AC105662.2	0.09	
Polr3c	0.09	
Foxred1	0.09	
Sec22c	0.09	
Pyurf	0.09	
AABR07017902.1	0.08	
0	0.08	
Pex26	0.08	
Nkain2	0.08	
Lrrc74b	0.08	
Kcnh7	0.08	
Lancl2	0.08	
Tcp11l1	0.08	
Pkm	0.08	
Epcam	0.08	
Epc2	0.08	
Rasa3	0.08	
Bcar1	0.08	
Rgs17	0.08	
Pja2	0.08	
Pi4kb	0.08	
Ubap2	0.08	
AABR07057423.1	0.08	
Rnf34	0.08	
Atp1a3	0.08	
Sec23ip	0.08	
Lama5	0.08	
Pqlc3	0.08	
RGD1565131	0.08	
AABR07021823.1	0.08	
Npr2	0.08	
Fubp1	0.08	
Ip6k2	0.08	
Zfand5	0.08	
Tnik	0.08	
Snap47	0.08	
Postn	0.08	
Naa30	0.08	
Dnmt1	0.08	
Igfbp3	0.08	
Gtf2h4	0.08	
Mgat3	0.08	
Mir22	0.08	
Lrif1	0.08	
Cluap1	0.08	
Prkci	0.08	
Pdgfc	0.08	
AABR07025368.1	0.08	
Rprd2	0.08	
Trim46	0.08	
Shisa7	0.08	
Polr3f	0.08	
Emsy	0.08	
Galc	0.08	
Slmap	0.08	
Mcm9	0.08	
Taf1c	0.08	
Slc35a1	0.08	
AABR07028839.1	0.08	
AABR07029002.2	0.08	
Mzf1	0.08	
Vkorc1	0.08	
Pcdhb5	0.08	
Dhx33	0.08	
Clip2	0.08	
Nme7	0.08	
Mmd	0.08	
Ago4	0.08	
Pex14	0.08	
Stx2	0.08	
Ipo5	0.08	
RF00281	0.08	
Stxbp5	0.08	
AABR07029573.1	0.08	
Tmem97	0.08	
Pcdhga5	0.08	
Thada	0.08	
Ftsj3	0.08	
RGD1311084	0.08	
Adgrv1	0.08	
Gripap1	0.08	
Cnot4	0.08	
AC131360.1	0.08	
Aagab	0.08	
Akirin1	0.08	
RGD1305938	0.08	
Sptbn4	0.08	
AABR07051450.1	0.08	
Fcf1	0.08	
AABR07018857.1	0.08	
Terf1	0.08	
LOC103691261	0.08	
Tex30	0.08	
Ccnd2	0.08	
AABR07061178.1	0.08	
Iffo1	0.08	
Rbm33	0.08	
Pld5	0.08	
Triqk	0.08	
Ppp4r3a	0.08	
Tmcc1	0.08	
Bcas2	0.08	
AABR07039218.1	0.08	
Zbtb2	0.08	
Prdm10	0.08	
AABR07037243.1	0.08	
Nxpe1	0.08	
AABR07063855.1	0.08	
Akr1b8	0.08	
Cers4	0.08	
Apba1	0.08	
Mettl17	0.08	
AABR07056636.1	0.08	
Baz1a	0.08	
Slc26a11	0.08	
Gng12	0.08	
Tc2n	0.08	
Epb41l4b	0.08	
Dtx1	0.08	
AABR07040622.1	0.08	
Wdr12	0.08	
C7	0.08	
AABR07033023.1	0.08	
Fdxr	0.08	
Csnk2a2	0.08	
Zfp277	0.08	
AABR07039328.2	0.08	
Armt1	0.08	
Prrt4	0.08	
Tnks	0.08	
Hps4	0.08	
Thap1	0.08	
Glis2	0.08	
Dbp	0.08	
U2surp	0.08	
Phf14	0.08	
Cic	0.08	
Pfkp	0.08	
Mipep	0.08	
Lonp1	0.08	
Fam126a	0.08	
Man2b2	0.08	
RF00092	0.08	
Apcdd1	0.08	
AABR07000385.2	0.08	
Bcap29	0.08	
Kif17	0.08	
Ranbp17	0.08	
Senp8	0.08	
Klhl24	0.08	
Trim9	0.08	
Dock11	0.08	
Odf3b	0.08	
Coq8a	0.08	
Gtf3c4	0.08	
AC134759.1	0.08	
AABR07012054.1	0.08	
Baalc	0.08	
Gosr1	0.08	
B3galt1	0.08	
Sucla2	0.08	
P2rx6	0.08	
Lyc2	0.08	
Fkbp6	0.08	
Slc31a1	0.08	
St3gal2	0.08	
Fam184b	0.08	
Pgpep1	0.08	
Stambp	0.08	
Srpk1	0.08	
LOC103693780	0.08	
Ube2k	0.08	
Cdc45	0.08	
LOC102547817	0.08	
Gne	0.08	
Ttbk1	0.08	
Jun	0.08	
Hook1	0.08	
Shq1	0.08	
Ypel5	0.08	
Jpt1	0.08	
Ptprs	0.08	
Cox18	0.08	
Endog	0.08	
Trim44	0.08	
Sphk1	0.08	
AABR07026294.1	0.08	
Wdr31	0.08	
AABR07067600.1	0.08	
Cep192	0.08	
RF00151	0.08	
Ubl3	0.08	
RGD1305110	0.08	
AABR07026058.1	0.08	
Fads3	0.08	
RGD1309079	0.08	
Mblac2	0.08	
C2cd4b	0.08	
C2cd2	0.08	
Ola1	0.08	
Letm1	0.08	
Dnaja4	0.08	
Mfsd9	0.08	
AABR07002337.1	0.08	
Vps35	0.08	
Gstm6	0.08	
Srf	0.08	
Dnajc17	0.08	
Ice1	0.08	
Tpr	0.08	
Cfap100	0.08	
Gpatch1	0.08	
Pelo	0.08	
Masp2	0.08	
Megf8	0.08	
Kcnj11	0.08	
Mri1	0.08	
Vxn	0.08	
Me1	0.08	
Cep68	0.08	
Map3k20	0.08	
Cep97	0.08	
Ttc19	0.08	
Pfkfb4	0.08	
Ptcd2	0.08	
Zfp865	0.08	
Ipo4	0.08	
Erf	0.08	
Ldah	0.08	
Fam81a	0.08	
Ano8	0.08	
Fam8a1	0.08	
AABR07038849.2	0.08	
Syt1	0.08	
Zfp112	0.08	
Bcl10	0.08	
Klf5	0.08	
LOC100365062	0.08	
Kcnc4	0.08	
Prr15	0.08	
Gpn2	0.08	
Scoc	0.08	
Armcx3	0.08	
Oprd1	0.08	
Dtl	0.08	
Gphn	0.08	
Tmem35a	0.08	
Uimc1	0.08	
Ube2o	0.08	
Mphosph8	0.08	
Vill	0.08	
AABR07044442.1	0.08	
Sort1	0.08	
Ifih1	0.08	
Dgkd	0.08	
Psen1	0.08	
Lrrc46	0.08	
Tdg	0.08	
Tbc1d9	0.08	
AABR07059041.1	0.08	
Bloc1s3	0.08	
Top3a	0.08	
AABR07058699.2	0.08	
Mgp	0.08	
Edrf1	0.08	
Ppm1d	0.08	
Dnd1	0.08	
Selenoi	0.08	
Prkab2	0.08	
Metrnl	0.08	
Rad54l2	0.08	
Cc2d1a	0.08	
Atg13	0.08	
Exoc5	0.08	
Jrk	0.08	
N4bp2l2	0.08	
AABR07014550.1	0.08	
Zfp282	0.08	
Tnip2	0.08	
Plek2	0.08	
Mfhas1	0.08	
Gprin3	0.08	
Bcl7a	0.08	
Hivep2	0.08	
Tbc1d5	0.08	
Slco4a1	0.08	
Rai1	0.08	
Pctp	0.08	
Snx15	0.08	
Tmem218	0.08	
Klhl21	0.08	
Rtn4rl1	0.08	
Ecpas	0.08	
Gucy1b1	0.08	
Flvcr2	0.08	
Sgsm3	0.08	
Rab3gap1	0.08	
MAST1	0.08	
Iscu	0.08	
Dcbld2	0.08	
Ublcp1	0.08	
Tfam	0.08	
Plcg2	0.08	
Ttc8	0.08	
Ap5b1	0.08	
Dennd6a	0.08	
Fry	0.08	
Anks3	0.08	
Zfp266	0.08	
AY172581.2	0.08	
Irgq	0.08	
Abcg4	0.08	
Dynlt3	0.08	
Ssx2ip	0.08	
Riox2	0.08	
Plekha8	0.08	
Efl1	0.08	
Ddc	0.08	
Rbm25l1	0.08	
Mrpl30	0.08	
Phkb	0.08	
Pold1	0.08	
Zfp106	0.08	
Cplane2	0.08	
AC128859.4	0.08	
Acaa1a	0.08	
Stx7	0.08	
AABR07042903.1	0.08	
Fgf13	0.08	
Pcdhb11	0.08	
Ankrd39	0.08	
Efr3b	0.08	
Dcx	0.08	
AABR07006688.2	0.08	
C2cd5	0.08	
Ubp1	0.08	
AABR07071876.1	0.08	
Aamdc	0.08	
Mxd3	0.08	
Spag5	0.08	
Alg1	0.08	
Emx2	0.08	
Mzt1	0.08	
Usp34	0.08	
Tctn1	0.08	
Zfp563	0.08	
Gtdc1	0.08	
Got2	0.08	
Adam4	0.08	
Zfp706	0.08	
Cox8b	0.08	
Akap14	0.08	
Phospho2	0.08	
Cyb561d2	0.08	
Pola2	0.08	
Mgat4c	0.08	
Pih1d2	0.08	
Smarcc2	0.08	
Sparcl1	0.08	
Agps	0.08	
Mettl21a	0.08	
Trim23	0.08	
Pofut1	0.08	
Dnaja2	0.08	
Fgd3	0.08	
Arhgap11a	0.08	
Grsf1	0.08	
Kcnj10	0.08	
Orc5	0.08	
Htr1d	0.08	
AABR07002779.1	0.08	
Hey2	0.08	
Tesk1	0.08	
Mal2	0.08	
Pnkp	0.08	
Pdgfrb	0.08	
Wdr7	0.08	
Vldlr	0.08	
Hcn4	0.08	
LOC499407	0.08	
AABR07001099.1	0.07	
Psip1	0.07	
Tmem120a	0.07	
Mgam	0.07	
St6gal1	0.07	
Babam1	0.07	
Lysmd2	0.07	
AABR07065531.1	0.07	
Gfm1	0.07	
Zfp213	0.07	
Mark4	0.07	
Actr3	0.07	
Ssh1	0.07	
Afg3l2	0.07	
Syap1	0.07	
Sema4b	0.07	
Rnf180	0.07	
Ptprb	0.07	
Pdss1	0.07	
Calb1	0.07	
Cltc	0.07	
Izumo4	0.07	
Ppp1r12b	0.07	
Radil	0.07	
Ctcf	0.07	
LOC102549173	0.07	
Wnt4	0.07	
Zbtb44	0.07	
Ep400	0.07	
Maip1	0.07	
Rptor	0.07	
Zbtb7b	0.07	
Cab39	0.07	
Rps4y2	0.07	
Slc9a8	0.07	
LOC108348250	0.07	
H6pd	0.07	
Gon7	0.07	
Etf1	0.07	
Slc2a8	0.07	
G2e3	0.07	
Spast	0.07	
Ppp2r2b	0.07	
Tob1	0.07	
Rpl31	0.07	
Abraxas2	0.07	
Tapbp	0.07	
Pld3	0.07	
RGD1561327	0.07	
Fem1c	0.07	
Borcs6	0.07	
Lrrc58	0.07	
Ap2a1	0.07	
Ino80d	0.07	
Rnf14	0.07	
Gbf1	0.07	
Mpp2	0.07	
Aqr	0.07	
Tmem266	0.07	
Dcps	0.07	
Slc37a3	0.07	
Zfp955a	0.07	
Ndufa10l1	0.07	
Vegfc	0.07	
Rsf1	0.07	
Bco2	0.07	
Tspan17	0.07	
Sbf2	0.07	
Dact2	0.07	
Ttll5	0.07	
Slfn13	0.07	
Atp5me	0.07	
Zbtb4	0.07	
Snx10	0.07	
Il5ra	0.07	
Dop1a	0.07	
Cdc42bpg	0.07	
Wdr11	0.07	
Dnajc18	0.07	
Derl2	0.07	
Wdr48	0.07	
Yipf5	0.07	
Grin1	0.07	
Cdk17	0.07	
Nlgn3	0.07	
Cenpj	0.07	
AC140988.1	0.07	
Fbxw9	0.07	
Atp6v1g2	0.07	
AABR07057675.1	0.07	
Ints6	0.07	
Xpo7	0.07	
Dapk1	0.07	
Zmynd11	0.07	
Tcf20	0.07	
Edar	0.07	
Polr3d	0.07	
Chm	0.07	
Ttc25	0.07	
Slc9a1	0.07	
S100a8	0.07	
Myg1	0.07	
Srcap	0.07	
Rif1	0.07	
Ehmt1	0.07	
Zfp503	0.07	
Clip1	0.07	
Nras	0.07	
Pcmtd1	0.07	
Eif3g	0.07	
Itsn1	0.07	
Sod2	0.07	
Fbxo28	0.07	
Sdad1	0.07	
Cpe	0.07	
Ddx46	0.07	
Dpysl4	0.07	
Zfp592	0.07	
Secisbp2	0.07	
Nedd4l	0.07	
Timeless	0.07	
LOC100911575	0.07	
AABR07041140.1	0.07	
Cpsf1	0.07	
Pfkfb2	0.07	
Cdca4	0.07	
Slc20a1	0.07	
Zdhhc19	0.07	
Ndufs1	0.07	
Tasp1	0.07	
Slc4a4	0.07	
C4bpb	0.07	
Snw1	0.07	
Ahcy	0.07	
Lpl	0.07	
Hscb	0.07	
Cd3eap	0.07	
Gclm	0.07	
Alas1	0.07	
Acox3	0.07	
Ttll12	0.07	
RGD1304884	0.07	
Wbp2	0.07	
Arl5c	0.07	
Dmwd	0.07	
Cops2	0.07	
Ptpn2	0.07	
Tmtc4	0.07	
Tmc4	0.07	
AABR07035357.1	0.07	
Galk2	0.07	
AC109942.1	0.07	
Nop14	0.07	
Metap1	0.07	
AABR07016841.1	0.07	
Tyw5	0.07	
Kctd20	0.07	
Edil3	0.07	
Uggt1	0.07	
Slc25a19	0.07	
Llgl1	0.07	
Prpf40b	0.07	
Cacnb1	0.07	
Slc39a13	0.07	
Fzd3	0.07	
0	0.07	
AABR07058422.1	0.07	
Atp2c1	0.07	
RGD1305089	0.07	
Mcm4	0.07	
Bysl	0.07	
Med18	0.07	
AABR07030521.1	0.07	
Rrs1	0.07	
Hk1	0.07	
Blvra	0.07	
RGD1565616	0.07	
Clec11a	0.07	
RGD1563307	0.07	
Ptov1	0.07	
Mark2	0.07	
RF00100	0.07	
Dbnl	0.07	
Mrpl43	0.07	
Api5	0.07	
Stim2	0.07	
Hmces	0.07	
Eno1	0.07	
Mrpl35	0.07	
Pcare	0.07	
P3h3	0.07	
Med9	0.07	
Tmem59l	0.07	
Kidins220	0.07	
Map4k5	0.07	
Ercc6	0.07	
Nip7	0.07	
Myl12b	0.07	
Uhrf1bp1l	0.07	
Cog5	0.07	
Zmynd8	0.07	
Paqr4	0.07	
Lsm11	0.07	
Eef1a2	0.07	
Snd1	0.07	
Bnip1	0.07	
Exd1	0.07	
Scyl2	0.07	
Zdhhc8	0.07	
Ccdc186	0.07	
AABR07044362.5	0.07	
LOC100363268	0.07	
Inpp5k	0.07	
Flot1	0.07	
Crip1	0.07	
Rtn1	0.07	
Strada	0.07	
Cacna1i	0.07	
AABR07001905.2	0.07	
AABR07066379.1	0.07	
Nhlrc1	0.07	
Tgfb1i1	0.07	
Slc1a4	0.07	
Zfp354a	0.07	
Trmt1	0.07	
Serhl2	0.07	
Gli3	0.07	
Lzic	0.07	
Tnrc18	0.07	
Rxfp1	0.07	
C1qtnf1	0.07	
Tdrd3	0.07	
Acvr1	0.07	
Zfp35	0.07	
Pgs1	0.07	
Ppp2ca	0.07	
Arsb	0.07	
Ranbp9	0.07	
Mus81	0.07	
Celf1	0.07	
Rhof	0.07	
Dusp8	0.07	
Sstr2	0.07	
Atp1b1	0.07	
Fam222b	0.07	
Acsl4	0.07	
Necab1	0.07	
Iqce	0.07	
Ptk7	0.07	
AABR07035802.1	0.07	
U2af1l4	0.07	
Hykk	0.07	
Wdr81	0.07	
Dpm1	0.07	
Chrnb2	0.07	
Tbl1xr1	0.07	
Hmgxb3	0.07	
Gm5471	0.07	
Slc7a4	0.07	
Kif1b	0.07	
Rrp15	0.07	
Higd2a	0.07	
Hmg20a	0.07	
Synpo	0.07	
Slc25a12	0.07	
Ranbp3	0.07	
AABR07001210.1	0.07	
Zfyve28	0.07	
Cyb561a3	0.07	
Farp1	0.07	
Zscan21	0.07	
Rpa2	0.07	
Acot3	0.07	
Tkfc	0.07	
Hes1	0.07	
Snrnp200	0.07	
Eif2s3	0.07	
Mbtps2	0.07	
Mgrn1	0.07	
Fen1	0.07	
Metap1d	0.07	
Zswim4	0.07	
Col4a1	0.07	
Grm1	0.07	
Fcrla	0.07	
Map1s	0.07	
Rsbn1	0.07	
Tspoap1	0.07	
Macrod1	0.07	
Drosha	0.07	
Appbp2	0.07	
Vwa5b2	0.07	
Timm10	0.07	
LOC100363502	0.07	
Vps8	0.07	
Rusc2	0.07	
Atn1	0.07	
Asb3	0.07	
Spopl	0.07	
Cars2	0.07	
Tnks2	0.07	
Zc3h18	0.07	
Prpf18	0.07	
Nipa1	0.07	
Zc2hc1a	0.07	
Rbm15	0.07	
Astn1	0.07	
Tceal7	0.07	
Mrps15	0.07	
Pnpo	0.07	
Ankrd54	0.07	
Gorasp2	0.07	
Itpk1	0.07	
Polr1a	0.07	
Grid2ip	0.07	
Ppp1r13l	0.07	
Rgcc	0.07	
LOC102553138	0.07	
Atrx	0.07	
Lyrm1	0.07	
Gas1	0.07	
Snx12	0.07	
Ern1	0.07	
LOC691143	0.07	
Wasl	0.07	
Kcnh1	0.07	
Timm9	0.07	
Zfp871	0.07	
Als2	0.07	
Zcchc3	0.07	
Lrch3	0.07	
Slc37a1	0.07	
Cnr1	0.07	
Ina	0.07	
Dscaml1	0.07	
AABR07038021.1	0.07	
AC115420.2	0.07	
Hpcal1	0.07	
Bag4	0.07	
Lrp6	0.07	
Exoc8	0.07	
AABR07070225.1	0.07	
Fam229b	0.07	
Syt3	0.07	
Rpl22l1	0.07	
Nsun7	0.07	
Depdc5	0.07	
Enpp1	0.07	
Dcaf15	0.07	
Ap2b1	0.07	
Cpne3	0.07	
Lpcat4	0.07	
Catsperz	0.07	
Slc19a3	0.07	
Adh5	0.07	
Sinhcaf	0.07	
Zfp17	0.07	
AC142180.1	0.07	
Mfsd12	0.07	
Arhgap44	0.07	
Csnk1d	0.07	
B4galt3	0.07	
Clip4	0.07	
Espl1	0.07	
Ptges2	0.07	
Pcyt1a	0.07	
Pex11b	0.07	
Nampt	0.07	
Med13l	0.07	
Strbp	0.07	
Suco	0.07	
Xrn1	0.07	
Rgp1	0.07	
Slc47a2	0.07	
Sf3b3	0.07	
Glrb	0.07	
Pten	0.07	
Pdhb	0.07	
Upf2	0.07	
Nol11	0.07	
Bcl2l10	0.07	
Slc35e2b	0.07	
Usp42	0.07	
Rasgrf1	0.07	
Trappc11	0.07	
Rpl27	0.07	
Mtrf1	0.07	
Pusl1	0.07	
Coil	0.07	
Gas8	0.07	
Xiap	0.07	
Pex11a	0.07	
AA926063	0.07	
Cyyr1	0.07	
Togaram1	0.07	
Ulk1	0.07	
Foxj2	0.07	
AABR07036375.1	0.07	
Mrps6	0.07	
Plekha3	0.07	
RF00181	0.07	
Trip11	0.07	
Myh10	0.07	
Rab3c	0.07	
Cdk13	0.07	
AABR07055776.1	0.07	
Rhoj	0.07	
Isyna1	0.07	
Med14	0.07	
Osbpl10	0.07	
Oga	0.07	
Zcchc9	0.07	
Isca1	0.07	
Pafah1b1	0.07	
Slc6a17	0.07	
AABR07054045.1	0.07	
Susd6	0.07	
Fancd2	0.07	
Rnf145	0.07	
Sec22b	0.07	
Smpd3	0.07	
Adam10	0.07	
Pds5b	0.07	
Palm2	0.06	
Calm2	0.06	
Abcd1	0.06	
Nprl3	0.06	
Ascl1	0.06	
Mbd4	0.06	
Stxbp1	0.06	
Cpt1c	0.06	
Gna14	0.06	
Dctn2	0.06	
Exosc8	0.06	
AABR07001910.1	0.06	
Cd163	0.06	
Atg9a	0.06	
Ttc4	0.06	
Utp14a	0.06	
Cadm2	0.06	
Pus10	0.06	
Dctn5	0.06	
Cdca7	0.06	
Anxa6	0.06	
Arcn1	0.06	
Slc7a8	0.06	
Tubb3	0.06	
Vamp7	0.06	
Utp18	0.06	
Sorcs3	0.06	
Tex264	0.06	
LOC100909840	0.06	
Ppm1h	0.06	
Cpeb4	0.06	
Gab2	0.06	
Cdo1	0.06	
Rttn	0.06	
Ttc9c	0.06	
Enah	0.06	
Ric3	0.06	
Antxr1	0.06	
Crtc3	0.06	
Enpp5	0.06	
Ift80	0.06	
LOC687399	0.06	
Pdzd3	0.06	
Tmed3	0.06	
Rbbp7	0.06	
Setd1a	0.06	
Ywhaz	0.06	
Purb	0.06	
Jrkl	0.06	
Gpr180	0.06	
Amdhd2	0.06	
Rbak	0.06	
Myo1c	0.06	
Tm9sf3	0.06	
Igfbp4	0.06	
Herc3	0.06	
Zfp521	0.06	
Wdr33	0.06	
Zfp362	0.06	
AABR07002868.1	0.06	
St8sia1	0.06	
Heca	0.06	
Xpo1	0.06	
Bbs2	0.06	
Lrrtm3	0.06	
Trmt6	0.06	
Rtl4	0.06	
Stmn2	0.06	
Rnaseh1	0.06	
Hirip3	0.06	
Commd4	0.06	
Arl4d	0.06	
Gak	0.06	
AABR07010030.2	0.06	
Rbbp8	0.06	
AABR07035317.2	0.06	
Ccser2	0.06	
Ctdp1	0.06	
Slc38a10	0.06	
Bckdk	0.06	
Arpc3	0.06	
LOC102555457	0.06	
Prpf8	0.06	
Serpina1	0.06	
Panx2	0.06	
Ddx3x	0.06	
Camk2b	0.06	
AABR07027870.2	0.06	
Myadm	0.06	
Nagk	0.06	
Lgi1	0.06	
Eif2s1	0.06	
Alg12	0.06	
Prpf4b	0.06	
Prmt8	0.06	
Atp6v0a1	0.06	
Canx	0.06	
Tp53bp1	0.06	
Calm3	0.06	
Gtf2h2	0.06	
Jade1	0.06	
Pgam1	0.06	
Prlr	0.06	
Elp2	0.06	
Kifc3	0.06	
Mbd1	0.06	
Stt3a	0.06	
Gpatch8	0.06	
Tyr	0.06	
LOC102548695	0.06	
Scnn1b	0.06	
Rabepk	0.06	
Man1a2	0.06	
Nisch	0.06	
Ccdc82	0.06	
Fam193b	0.06	
AC110981.1	0.06	
AABR07000658.1	0.06	
Kdm5c	0.06	
Btbd10	0.06	
Xkr7	0.06	
Gtf2e2	0.06	
Fam13c	0.06	
Tmem161b	0.06	
Szt2	0.06	
Cpne8	0.06	
Zfp583	0.06	
Ccz1b	0.06	
Zswim5	0.06	
Chmp2b	0.06	
Itch	0.06	
Zfp423	0.06	
Inpp4b	0.06	
Rabgap1	0.06	
Ssh3	0.06	
Eda	0.06	
Fech	0.06	
Parg	0.06	
Sec13	0.06	
Serf2	0.06	
Dlgap1	0.06	
Pak4	0.06	
Ogg1	0.06	
Lamtor5	0.06	
Oas1f	0.06	
Spef1	0.06	
Tiprl	0.06	
Ccdc177	0.06	
Mmp16	0.06	
Tent2	0.06	
Sav1	0.06	
Plxdc1	0.06	
Erlin2	0.06	
Ebi3	0.06	
Tmem192	0.06	
Mtx1	0.06	
B4galt6	0.06	
Chordc1	0.06	
Fndc1	0.06	
Hccs	0.06	
Sipa1l1	0.06	
Strn	0.06	
Rap1b	0.06	
AABR07025303.1	0.06	
Spice1	0.06	
Nbeal2	0.06	
Ncapd2	0.06	
AC130232.2	0.06	
Hivep3	0.06	
Ncan	0.06	
Cdc16	0.06	
Snrnp27	0.06	
Vdac1	0.06	
Gzmm	0.06	
Tnrc6b	0.06	
Tmem201	0.06	
Sumo2	0.06	
Tmem237	0.06	
Cherp	0.06	
Gabarapl2	0.06	
Smim7	0.06	
Actn2	0.06	
AABR07070307.1	0.06	
LOC100910506	0.06	
AC130232.1	0.06	
Ube4b	0.06	
Bloc1s1	0.06	
Coq2	0.06	
Stip1	0.06	
Wdr55	0.06	
Sco1	0.06	
Cbll1	0.06	
Pgbd5	0.06	
Cmpk2	0.06	
Pdik1l	0.06	
Ighmbp2	0.06	
Unc79	0.06	
Uba6	0.06	
Tob2	0.06	
Vps39	0.06	
Prr36	0.06	
